pps,heap,motion,arm,label
0,234420,0,1,1
0,234420,0,1,1
0,234420,0,1,1
0,234420,0,1,1
0,234420,0,1,1
0,234420,0,1,1
0,234420,0,1,1
0,234420,0,1,1
0,234420,0,1,1
0,234420,0,1,1
0,234420,0,1,1
0,234420,0,1,1
0,234420,0,1,1
0,234420,0,1,1
0,234420,0,1,1
88.5,227300,0,1,1
137,227056,0,1,1
137,228860,0,1,1
133.5,228860,0,1,1
136.5,228848,0,1,1
137,228648,0,1,1
137,227068,0,1,1
136.5,228656,0,1,1
136.5,228856,0,1,1
136,226876,0,1,1
48,225304,1,1,1
48,227084,1,1,1
136.5,225304,0,1,1
136.5,227080,0,1,1
136.5,228656,0,1,1
65.5,227080,1,1,1
136.5,227080,0,1,1
120,225304,1,1,1
136.5,230224,0,1,1
136,227016,0,1,1
131,227080,0,1,1
137,227080,0,1,1
90.5,225292,1,1,1
135.5,227080,0,1,1
129,227080,1,1,1
2.5,225304,1,1,1
135.5,228448,0,1,1
137,230636,0,1,1
137,227840,0,1,1
135.5,228656,0,1,1
136.5,227080,0,1,1
137,227080,0,1,1
133.5,228656,0,1,1
136.5,227084,0,1,1
137,227080,0,1,1
136.5,227080,0,1,1
136.5,226876,0,1,1
136,228860,0,1,1
136.5,227084,0,1,1
136.5,227080,0,1,1
136.5,227084,0,1,1
134.5,228856,0,1,1
136.5,225304,0,1,1
136.5,225100,0,1,1
136.5,227080,0,1,1
135.5,228640,0,1,1
135,225304,0,1,1
136.5,226872,0,1,1
136.5,228860,0,1,1
136.5,227080,0,1,1
136.5,225304,0,1,1
136,230428,0,1,1
136.5,227068,0,1,1
136.5,227056,0,1,1
136.5,225096,0,1,1
136.5,228860,0,1,1
136.5,225096,0,1,1
136.5,227076,0,1,1
51,225304,1,1,1
135,228656,0,1,1
114.5,225308,1,1,1
136.5,226876,0,1,1
136.5,226876,0,1,1
136.5,227080,0,1,1
136.5,228856,0,1,1
126,230420,0,1,1
136.5,228856,0,1,1
103.5,234188,0,1,1
0,234188,0,1,1
0,234188,0,1,1
0,234188,0,1,1
